127.0.0.1 - - [19/Jan/2021:13:01:28 +0100] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:01:31 +0100] "GET /Condominium/ HTTP/1.1" 500 2581
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:01:31 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:27:23 +0100] "GET /Condominium/ HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:27:23 +0100] "GET /Condominium/css/style.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:27:23 +0100] "GET /Condominium/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:27:23 +0100] "GET /Condominium/js/jquery.min.js HTTP/1.1" 200 97162
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:27:23 +0100] "GET /Condominium/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Jan/2021:13:27:27 +0100] "POST /Condominium/index.jsp HTTP/1.1" 500 3394
